n1,r1,n2,r2,ratio
2048,8,2048,48,1.670940171
2048,8,2048,56,1.783751962
2048,8,2048,64,1.901327839
2048,10,2048,10,1
2048,10,2048,16,1.114341085
2048,10,2048,20,1.163474692
2048,10,2048,24,1.230032887
2048,10,2048,32,1.369912791
2048,10,2048,40,1.497093023
2048,10,2048,48,1.607352596
2048,10,2048,56,1.715871338
2048,10,2048,64,1.828972868
2048,16,2048,16,1
2048,16,2048,20,1.048727273
2048,16,2048,24,1.098646035
2048,16,2048,32,1.21215415
2048,16,2048,40,1.335335968
2048,16,2048,48,1.442424242
2048,16,2048,56,1.539808018
2048,16,2048,64,1.641304348
2048,20,2048,20,1
2048,20,2048,24,1.055429579
2048,20,2048,32,1.164364331
2048,20,2048,40,1.273351648
2048,20,2048,48,1.366177498
2048,20,2048,56,1.465633423
2048,20,2048,64,1.561610886
2048,24,2048,24,1
2048,24,2048,32,1.107529794
2048,24,2048,40,1.217116257
2048,24,2048,48,1.303599374
2048,24,2048,56,1.39498005
2048,24,2048,64,1.480171282
2048,32,2048,32,1
2048,32,2048,40,1.092838196
2048,32,2048,48,1.166947995
2048,32,2048,56,1.252540563
2048,32,2048,64,1.322964392
2048,40,2048,40,1
2048,40,2048,48,1.068454495
2048,40,2048,56,1.144870745
2048,40,2048,64,1.216129744
2048,48,2048,48,1
2048,48,2048,56,1.067513962
2048,48,2048,64,1.131728367
2048,56,2048,56,1
2048,56,2048,64,1.061893519
2048,64,2048,64,1
2048,5,4096,5,1.007575758
2048,5,4096,8,1.018097643
2048,5,4096,10,1.031468531
2048,5,4096,16,1.162587413
2048,5,4096,20,1.237373737
2048,5,4096,24,1.29985755
2048,5,4096,32,1.437087218
2048,5,4096,40,1.571022727
2048,5,4096,48,1.704059829
2048,5,4096,56,1.834346209
2048,5,4096,64,1.941105769
2048,8,4096,8,0.976190476
2048,8,4096,10,0.989010989
2048,8,4096,16,1.109203297
2048,8,4096,20,1.166666667
2048,8,4096,24,1.226713023
2048,8,4096,32,1.361223572
2048,8,4096,40,1.490384615
2048,8,4096,48,1.606684982
2048,8,4096,56,1.729526426
2048,8,4096,64,1.838942308
2048,10,4096,10,0.955510617
2048,10,4096,16,1.074445858
2048,10,4096,20,1.13372093
2048,10,4096,24,1.193677326
2048,10,4096,32,1.322565949
2048,10,4096,40,1.433668076
2048,10,4096,48,1.554425065
2048,10,4096,56,1.672329608
2048,10,4096,64,1.768961416
2048,16,4096,16,0.968774704
2048,16,4096,20,1.007114625
2048,16,4096,24,1.063700838
2048,16,4096,32,1.179206963
2048,16,4096,40,1.286561265
2048,16,4096,48,1.386956522
2048,16,4096,56,1.492998306
2048,16,4096,64,1.579891304
2048,20,4096,20,0.965487112
2048,20,4096,24,1.020265549
2048,20,4096,32,1.1304888
2048,20,4096,40,1.233974359
