n1,r1,n2,r2,delta,ratio
512,1,512,64,0.08,0.521319055
512,1,512,64,0.1,0.739773552
512,1,512,64,0.12,0.787839262
512,1,512,64,0.14,0.921569394
512,1,512,64,0.16,0.929353948
512,1,512,64,0.18,1.034821956
512,1,512,64,0.2,1.112290634
512,1,512,64,0.22,1.240148163
512,1,512,64,0.24,1.212899837
512,1,512,64,0.26,1.283280652
512,1,512,64,0.28,1.356594
512,1,512,64,0.3,1.452028958
512,1,512,64,0.32,1.433027066
512,1,512,64,0.34,1.504838508
512,1,512,64,0.36,1.575194594
512,1,512,64,0.38,1.631324934
512,1,512,64,0.4,1.663668522
512,1,512,64,0.42,1.574913861
512,1,512,64,0.44,1.622022011
512,1,512,64,0.46,1.683171643
512,1,512,64,0.48,1.735313774
512,1,512,64,0.5,1.728216835
512,1,512,64,0.52,1.771611049
512,1,512,64,0.54,1.813228032
512,1,512,64,0.56,1.772684764
512,1,512,64,0.58,1.79518382
512,1,512,64,0.6,1.832264909
512,1,512,64,0.62,1.869787439
512,1,512,64,0.64,1.74202972
512,1,512,64,0.66,1.769453369
512,1,512,64,0.68,1.797500283
512,1,512,64,0.7,1.845801917
512,1,512,64,0.72,1.916365773
512,1,512,64,0.74,2.015677437
512,1,512,64,0.76,1.923019821
512,1,512,64,0.78,2.036637688
512,1,512,64,0.8,1.992075854
512,1,512,64,0.82,2.073030697
512,1,512,64,0.84,2.134790259
512,1,512,64,0.86,2.006104956
512,1,512,64,0.88,2.091403907
512,1,512,64,0.9,2.025355717
512,1,512,64,0.92,2.098406597
512,1,512,64,0.94,2.158602658
512,1,512,64,0.96,2.027325651
512,1,512,64,0.98,2.106005645
512,1,512,64,1,2.191633226
512,2,512,2,0.02,1
512,2,512,2,0.04,1
512,2,512,2,0.06,1
512,2,512,2,0.08,1
512,2,512,2,0.1,1
512,2,512,2,0.12,1
512,2,512,2,0.14,1
512,2,512,2,0.16,1
512,2,512,2,0.18,1
512,2,512,2,0.2,1
512,2,512,2,0.22,1
512,2,512,2,0.24,1
512,2,512,2,0.26,1
512,2,512,2,0.28,1
512,2,512,2,0.3,1
512,2,512,2,0.32,1
512,2,512,2,0.34,1
512,2,512,2,0.36,1
512,2,512,2,0.38,1
512,2,512,2,0.4,1
512,2,512,2,0.42,1
512,2,512,2,0.44,1
512,2,512,2,0.46,1
512,2,512,2,0.48,1
512,2,512,2,0.5,1
512,2,512,2,0.52,1
512,2,512,2,0.54,1
512,2,512,2,0.56,1
512,2,512,2,0.58,1
512,2,512,2,0.6,1
512,2,512,2,0.62,1
512,2,512,2,0.64,1
512,2,512,2,0.66,1
512,2,512,2,0.68,1
512,2,512,2,0.7,1
512,2,512,2,0.72,1
512,2,512,2,0.74,1
512,2,512,2,0.76,1
512,2,512,2,0.78,1
512,2,512,2,0.8,1
512,2,512,2,0.82,1
512,2,512,2,0.84,1
512,2,512,2,0.86,1
512,2,512,2,0.88,1
512,2,512,2,0.9,1
512,2,512,2,0.92,1
512,2,512,2,0.94,1
512,2,512,2,0.96,1
512,2,512,2,0.98,1
512,2,512,2,1,1
512,2,512,4,0.02,0.070611188
512,2,512,4,0.04,0.477124186
512,2,512,4,0.06,0.695190683
512,2,512,4,0.08,0.890128916
512,2,512,4,0.1,0.883947465
512,2,512,4,0.12,0.883947465
512,2,512,4,0.14,0.866948475
512,2,512,4,0.16,0.935430119
512,2,512,4,0.18,1.006031118
512,2,512,4,0.2,0.956193171
512,2,512,4,0.22,0.949913694
512,2,512,4,0.24,1.00139503
512,2,512,4,0.26,0.986448836
512,2,512,4,0.28,0.975460823
512,2,512,4,0.3,0.964306325
512,2,512,4,0.32,0.975317034
512,2,512,4,0.34,0.945761973
512,2,512,4,0.36,0.945761973
512,2,512,4,0.38,1.00400283
512,2,512,4,0.4,0.968942413
512,2,512,4,0.42,0.979141807
512,2,512,4,0.44,0.984878966
512,2,512,4,0.46,0.950398061
512,2,512,4,0.48,0.960312157
512,2,512,4,0.5,0.975317034
512,2,512,4,0.52,0.92721762
512,2,512,4,0.54,0.922652857
512,2,512,4,0.56,0.965755103
512,2,512,4,0.58,0.941125885
512,2,512,4,0.6,0.939128801
512,2,512,4,0.62,0.945435998
512,2,512,4,0.64,0.940546374
512,2,512,4,0.66,0.948249412
512,2,512,4,0.68,0.956193171
512,2,512,4,0.7,0.977167731
512,2,512,4,0.72,0.97223254
512,2,512,4,0.74,0.999540595
512,2,512,4,0.76,0.96729735
512,2,512,4,0.78,0.996908493
512,2,512,4,0.8,1.00823516
512,2,512,4,0.82,0.995062812
512,2,512,4,0.84,0.96729735
512,2,512,4,0.86,0.973122493
512,2,512,4,0.88,0.994440898
512,2,512,4,0.9,0.96729735
512,2,512,4,0.92,0.993186874
512,2,512,4,0.94,1.004640292
512,2,512,4,0.96,0.969764945
512,2,512,4,0.98,0.983154683
512,2,512,4,1,0.95874302
512,2,512,5,0.02,0.534356355
512,2,512,5,0.04,0.688323441
512,2,512,5,0.06,1.025964202
512,2,512,5,0.08,0.995845935
512,2,512,5,0.1,0.916569582
512,2,512,5,0.12,0.91100337
512,2,512,5,0.14,0.930485112
512,2,512,5,0.16,0.951822258
512,2,512,5,0.18,1.003942243
512,2,512,5,0.2,0.958698167
512,2,512,5,0.22,0.957056159
512,2,512,5,0.24,0.955364393
512,2,512,5,0.26,0.973007095
512,2,512,5,0.28,0.980322938
512,2,512,5,0.3,0.955364393
512,2,512,5,0.32,0.98521953
512,2,512,5,0.34,0.939171776
512,2,512,5,0.36,0.97155701
512,2,512,5,0.38,1.001918166
512,2,512,5,0.4,0.947268085
512,2,512,5,0.42,0.949510139
512,2,512,5,0.44,0.983132201
512,2,512,5,0.46,0.946256046
512,2,512,5,0.48,0.965438069
512,2,512,5,0.5,0.98521953
512,2,512,5,0.52,0.939171776
512,2,512,5,0.54,0.96184144
512,2,512,5,0.56,0.98521953
512,2,512,5,0.58,0.939171776
512,2,512,5,0.6,0.953620573
512,2,512,5,0.62,0.968520894
512,2,512,5,0.64,0.939171776
512,2,512,5,0.66,0.945399706
512,2,512,5,0.68,0.955996917
512,2,512,5,0.7,0.984680865
512,2,512,5,0.72,0.983603533
512,2,512,5,0.74,1.042551514
512,2,512,5,0.76,0.995723511
512,2,512,5,0.78,0.989124856
512,2,512,5,0.8,1.001986603
512,2,512,5,0.82,1.000866017
512,2,512,5,0.84,0.987660359
512,2,512,5,0.86,1.001242351
512,2,512,5,0.88,1.016603399
512,2,512,5,0.9,0.983167971
512,2,512,5,0.92,0.998959334
512,2,512,5,0.94,1.015277075
512,2,512,5,0.96,0.9652889
512,2,512,5,0.98,0.989873248
512,2,512,5,1,1.015277075
512,2,512,8,0.02,0.03214965
512,2,512,8,0.04,0.311688128
512,2,512,8,0.06,0.708835473
512,2,512,8,0.08,0.886550942
512,2,512,8,0.1,0.899743665
512,2,512,8,0.12,0.943279648
512,2,512,8,0.14,0.986815632
512,2,512,8,0.16,1.015010365
512,2,512,8,0.18,1.076526144
512,2,512,8,0.2,1.020278584
512,2,512,8,0.22,1.02303064
512,2,512,8,0.24,1.044863611
512,2,512,8,0.26,1.035506623
512,2,512,8,0.28,1.037007493
512,2,512,8,0.3,1.048029864
512,2,512,8,0.32,1.082413397
512,2,512,8,0.34,1.03773954
512,2,512,8,0.36,1.044467829
512,2,512,8,0.38,1.080576722
512,2,512,8,0.4,1.030516525
512,2,512,8,0.42,1.044009636
512,2,512,8,0.44,1.059123346
512,2,512,8,0.46,1.02586609
512,2,512,8,0.48,1.041648646
512,2,512,8,0.5,1.057924406
512,2,512,8,0.52,1.019533584
512,2,512,8,0.54,1.038433681
512,2,512,8,0.56,1.056291806
512,2,512,8,0.58,1.01874202
512,2,512,8,0.6,1.028788786
512,2,512,8,0.62,1.038333213
512,2,512,8,0.64,1.003702317
512,2,512,8,0.66,1.030396268
512,2,512,8,0.68,1.032619115
512,2,512,8,0.7,1.092472315
512,2,512,8,0.72,1.092261657
512,2,512,8,0.74,1.128452699
512,2,512,8,0.76,1.065086777
512,2,512,8,0.78,1.065086777
512,2,512,8,0.8,1.082547216
512,2,512,8,0.82,1.08054188
512,2,512,8,0.84,1.068457305
512,2,512,8,0.86,1.084260107
512,2,512,8,0.88,1.101460389
512,2,512,8,0.9,1.065508093
512,2,512,8,0.92,1.082547216
512,2,512,8,0.94,1.10058967
